Age,Count,Avg Salary,Avg Years of Service,Pct Male,Pct T1
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,3,67836,1.663333333,1,0
29,1,80097.96,4.33,1,0
30,1,78162.96,3.08,1,0
31,0,0,0,0,0
32,1,85902.96,4.5,1,1
33,1,85902.96,6.33,0,1
34,2,67836,2.33,1,0
35,0,0,0,0,0
36,4,72999.48,4.205,0.75,0.5
37,3,74720.64,3.663333333,0.666666667,0.333333333
38,2,78162.96,3.54,1,0
39,0,0,0,0,0
40,2,78162.96,4.33,1,0
41,4,91293.5175,7.33,0.75,0.75
42,3,71278.32,2.33,0.333333333,0
43,2,72999.48,4.33,0.5,0.5
44,7,76687.68,6.13,1,0.428571429
45,3,78161.32,8.33,1,0.666666667
46,7,77793.39429,6.545714286,0.714285714,0.428571429
47,4,75579.99,6.3725,0.5,0.25
48,7,88629.85714,9.94,0.571428571,0.714285714
49,4,75581.22,6.6025,0.75,0.75
50,2,78162.96,10.415,1,1
51,8,85344.0075,14.29875,1,1
52,8,80312.85,10.25,0.5,0.875
53,6,77730.98,12.20666667,0.5,0.833333333
54,5,81591.984,9.93,0.8,0.8
55,5,73514.784,5.214,0.6,0.4
56,4,80743.47,9.33,0.75,1
57,4,75579.99,9.83,0.5,0.5
58,4,77516.22,11.8525,0.75,0.75
59,4,80097.96,8.8325,0.75,0.75
60,2,78162.96,10.83,0.5,1
61,1,88485,18.17,0,1
62,6,83601.3,7.805,0.5,0.833333333
63,2,82032.96,24.625,0.5,1
64,1,50877,4.25,1,0
65,4,83109.48,18.2275,0.75,1
66,3,87034.32,24.33,1,1
67,0,0,0,0,0
68,4,83109.48,18.33,0.75,1
69,0,0,0,0,0
70,3,78162.96,13.02666667,1,1
71,3,78162.96,14.02666667,0.666666667,1
72,0,0,0,0,0
73,1,95313,44.33,1,1
74,1,78162.96,6.33,1,1
75,1,91065.96,36.33,0,1
76,0,0,0,0,0
77,0,0,0,0,0
78,1,78162.96,28.33,0,1
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
